TimeStamp,IntSolIrr,SMA-h-On,TmpMdul K,A.Ms.Amp,A.Ms.Vol,A.Ms.Watt,A1.Ms.Amp,B.Ms.Amp,B.Ms.Vol,B.Ms.Watt,B1.Ms.Amp,E-Total,GridMs.A.phsA,GridMs.A.phsB,GridMs.A.phsC,GridMs.Hz,GridMs.PhV.phsA,GridMs.PhV.phsB,GridMs.PhV.phsC,GridMs.TotPF,GridMs.TotVA,GridMs.TotVAr,GridMs.VA.phsA,GridMs.VA.phsB,GridMs.VA.phsC,GridMs.VAr.phsA,GridMs.VAr.phsB,GridMs.VAr.phsC,GridMs.W.phsA,GridMs.W.phsB,GridMs.W.phsC,Mode,Mt.TotOpTmh,Mt.TotTmh
2017-01-25 07:15,0.0,6089.75,286.92,0.0,518.7,0.0,0.0,0.0,519.0,0.0,0.0,28154.04,0.0,0.0,0.0,49.9,240.26,239.36,241.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7: Warten,3195.08,3484.96
2017-01-25 07:30,2.96,6089.99,286.82,0.17,560.75,89.39,0.17,0.11,522.66,51.21,0.11,28154.07,0.17,0.16,0.16,49.89,239.76,238.66,241.11,0.58,117.14,-33.36,40.71,38.14,38.29,-14.0,-9.57,-9.79,38.36,37.14,37.36,1: Mpp,3195.21,3485.2
2017-01-25 07:45,13.53,6090.24,287.21,0.52,578.47,298.5,0.52,0.33,571.89,188.83,0.33,28154.18,0.66,0.64,0.63,49.88,240.16,238.88,241.5,1.0,462.17,-52.4,157.03,152.8,152.33,-21.33,-15.93,-15.13,156.37,152.73,152.33,1: Mpp,3195.46,3485.46
2017-01-25 08:00,26.3,6090.49,287.62,0.82,602.41,491.73,0.82,0.53,595.24,315.07,0.53,28154.38,1.1,1.09,1.07,50.0,241.57,240.48,242.91,1.0,787.5,-38.47,265.4,262.33,259.77,-15.53,-12.6,-10.33,265.4,262.33,259.77,1: Mpp,3195.72,3485.71
2017-01-25 08:15,43.14,6090.73,287.8,1.24,621.51,777.59,1.24,0.81,612.87,502.52,0.81,28154.68,1.73,1.73,1.71,49.99,241.81,240.34,242.88,1.0,1250.0,-29.24,418.62,416.0,415.38,-11.1,-9.38,-8.69,418.62,416.0,415.45,1: Mpp,3195.96,3485.95
2017-01-25 08:30,60.8,6090.98,289.2,1.71,634.69,1082.63,1.71,1.12,626.4,700.07,1.12,28155.12,2.41,2.42,2.4,49.99,241.8,240.13,242.93,1.0,1745.03,-19.73,582.7,580.9,581.43,-6.87,-6.33,-6.53,582.7,580.9,581.43,1: Mpp,3196.21,3486.2
2017-01-25 08:45,52.93,6091.24,289.19,1.41,625.18,887.03,1.41,0.92,616.36,571.17,0.92,28155.47,1.97,1.97,1.95,49.99,242.2,240.37,243.25,1.0,1423.86,-25.03,476.31,473.28,474.28,-9.52,-7.93,-7.59,476.59,473.55,474.48,1: Mpp,3196.46,3486.45
2017-01-25 09:00,133.62,6091.48,291.78,4.04,651.91,2633.23,4.04,2.64,636.58,1664.43,2.64,28156.52,5.76,5.78,5.76,49.98,243.53,239.91,243.06,1.0,4185.73,-5.53,1401.43,1385.13,1399.17,-2.47,-0.67,-2.4,1401.43,1385.67,1399.23,1: Mpp,3196.71,3486.71
2017-01-25 09:15,144.63,6091.73,294.5,4.38,638.47,2801.69,4.37,2.83,642.37,1830.17,2.83,28157.67,6.21,6.22,6.21,49.96,243.39,241.13,243.51,1.0,4526.76,-7.31,1512.45,1501.69,1512.62,-2.9,-1.59,-2.83,1513.14,1502.76,1513.45,1: Mpp,3196.96,3486.95
2017-01-25 09:30,170.63,6091.98,293.53,4.88,650.66,3184.13,4.89,3.18,648.47,2071.83,3.18,28158.92,7.03,7.05,7.03,49.99,243.65,241.27,243.85,1.0,5137.67,-6.0,1715.97,1705.03,1716.67,-2.53,-1.07,-2.4,1716.1,1705.5,1716.53,1: Mpp,3197.21,3487.2
2017-01-25 09:45,170.97,6092.23,294.6,4.74,647.8,3082.6,4.74,3.09,633.25,1979.4,3.08,28160.14,6.82,6.84,6.84,50.0,243.03,241.22,243.6,1.0,4974.2,-7.2,1657.93,1650.37,1665.9,-2.47,-1.4,-3.27,1657.13,1649.97,1665.37,1: Mpp,3197.46,3487.45
2017-01-25 10:00,213.69,6092.47,295.88,6.02,656.72,3967.4,6.01,3.97,646.6,2575.47,3.97,28161.73,8.77,8.79,8.79,49.99,243.38,241.72,243.46,1.0,6406.63,-5.6,2136.07,2127.8,2142.77,-2.13,-0.87,-2.6,2136.13,2128.0,2142.83,1: Mpp,3197.71,3487.7
2017-01-25 10:15,267.21,6092.72,298.05,7.36,659.05,4858.38,7.36,4.89,645.65,3161.66,4.89,28163.76,10.72,10.75,10.76,49.94,244.35,242.71,244.25,1.0,7859.93,-5.17,2621.0,2609.9,2629.03,-2.0,-0.76,-2.41,2620.93,2610.38,2629.93,1: Mpp,3197.96,3487.96
2017-01-25 10:30,215.47,6092.97,297.8,5.78,649.83,3753.23,5.77,3.83,640.44,2451.03,3.83,28165.27,8.34,8.36,8.37,49.93,243.12,241.64,243.48,1.0,6082.9,-5.67,2026.3,2019.97,2036.63,-1.73,-1.07,-2.87,2026.1,2019.9,2036.43,1: Mpp,3198.22,3488.21
2017-01-25 10:45,309.9,6093.22,298.23,8.3,656.99,5452.9,8.29,5.45,649.46,3539.79,5.46,28167.41,12.02,12.06,12.06,49.96,244.93,242.95,244.53,1.0,8827.66,-4.34,2946.31,2931.0,2950.34,-1.93,-0.48,-1.93,2946.72,2932.17,2950.9,1: Mpp,3198.46,3488.45
2017-01-25 11:00,273.14,6093.46,299.01,7.13,654.77,4675.83,7.12,4.74,640.5,3039.17,4.74,28169.32,10.29,10.33,10.31,49.95,244.93,242.24,244.3,1.0,7544.07,-4.87,2522.23,2502.17,2519.67,-2.13,-0.73,-2.0,2521.57,2501.83,2519.2,1: Mpp,3198.71,3488.7
2017-01-25 11:15,278.66,6093.71,299.04,7.15,650.95,4663.69,7.15,4.74,640.08,3035.79,4.73,28171.18,10.32,10.35,10.36,49.96,243.94,242.15,244.13,1.0,7553.03,-4.69,2518.69,2505.76,2528.59,-2.0,-0.34,-2.34,2519.1,2506.52,2528.93,1: Mpp,3198.96,3488.96
2017-01-25 11:30,270.9,6093.96,299.51,6.81,654.29,4459.47,6.81,4.54,638.43,2900.07,4.54,28172.97,9.86,9.87,9.89,49.97,244.36,242.67,244.74,1.0,7223.73,-5.4,2408.63,2396.03,2419.07,-2.0,-0.6,-2.8,2409.1,2396.63,2419.6,1: Mpp,3199.21,3489.2
2017-01-25 11:45,291.59,6094.21,299.06,7.33,655.85,4814.31,7.33,4.87,641.92,3127.28,4.87,28174.96,10.6,10.62,10.63,49.97,244.95,243.45,245.35,1.0,7792.0,-6.07,2597.9,2585.62,2608.48,-1.93,-1.03,-3.1,2597.55,2585.69,2608.34,1: Mpp,3199.46,3489.46
2017-01-25 12:00,254.55,6094.46,299.69,6.38,653.15,4169.9,6.38,4.26,635.91,2706.33,4.25,28176.62,9.2,9.22,9.23,49.98,244.63,243.23,245.08,1.0,6753.53,-6.2,2249.87,2242.3,2261.37,-2.0,-1.2,-3.0,2250.0,2242.57,2261.5,1: Mpp,3199.71,3489.7
2017-01-25 12:15,327.48,6094.7,299.36,8.16,656.55,5366.2,8.16,5.43,640.92,3484.5,5.43,28178.78,11.8,11.83,11.85,49.95,245.39,243.91,245.65,1.0,8686.3,-5.07,2894.53,2882.77,2909.0,-1.93,-0.6,-2.6,2895.0,2883.7,2909.33,1: Mpp,3199.96,3489.95
2017-01-25 12:30,310.34,6094.95,299.35,7.79,655.37,5108.34,7.79,5.22,623.79,3251.03,5.22,28180.84,11.17,11.19,11.22,49.93,244.36,243.05,244.94,1.0,8200.9,-5.38,2730.66,2720.83,2749.41,-1.66,-0.69,-3.03,2730.66,2721.21,2749.41,1: Mpp,3200.21,3490.2
2017-01-25 12:45,319.68,6095.2,300.32,8.05,654.5,5268.83,8.05,5.35,636.68,3406.3,5.35,28182.93,11.6,11.6,11.64,49.88,244.55,243.12,245.09,1.0,8513.2,-5.33,2838.53,2820.23,2854.43,-1.73,-0.6,-3.0,2837.47,2819.53,2853.37,1: Mpp,3200.46,3490.45
2017-01-25 13:00,340.55,6095.45,300.36,8.64,655.48,5668.57,8.64,5.75,639.36,3675.6,5.75,28185.24,12.41,12.43,12.47,49.95,246.04,244.61,246.47,1.0,9170.4,-4.87,3054.87,3042.37,3073.17,-1.47,-0.67,-2.8,3054.93,3042.7,3073.43,1: Mpp,3200.71,3490.7
2017-01-25 13:15,333.47,6095.7,301.59,8.44,650.3,5487.57,8.44,5.61,633.84,3555.67,5.61,28187.5,11.85,11.86,11.89,50.0,250.07,248.64,250.73,1.0,8891.57,-5.67,2962.6,2948.7,2980.27,-1.93,-0.67,-3.07,2963.0,2949.43,2980.73,1: Mpp,3200.96,3490.96
2017-01-25 13:30,304.23,6095.95,300.58,7.77,651.31,5068.17,7.77,5.18,634.11,3284.83,5.18,28189.51,10.93,10.94,10.96,49.99,249.95,248.54,250.8,1.0,8201.83,-5.31,2732.34,2720.03,2749.45,-1.79,-0.48,-3.03,2732.21,2720.24,2749.38,1: Mpp,3201.21,3491.2
2017-01-25 13:45,251.52,6096.19,299.55,6.36,651.35,4146.0,6.36,4.27,632.25,2697.97,4.26,28191.14,9.04,9.05,9.06,49.97,247.57,246.22,248.59,1.0,6716.76,-6.9,2236.55,2227.83,2252.38,-1.86,-1.31,-3.72,2236.28,2227.55,2252.1,1: Mpp,3201.45,3491.45
2017-01-25 14:00,308.55,6096.44,300.49,7.87,651.48,5131.9,7.88,5.23,633.12,3312.37,5.23,28193.29,11.14,11.18,11.19,49.95,247.95,246.15,247.97,1.0,8290.37,-6.07,2763.43,2752.77,2774.17,-1.87,-1.27,-2.93,2763.57,2753.17,2774.33,1: Mpp,3201.71,3491.7
2017-01-25 14:15,289.83,6096.69,300.42,7.47,649.4,4854.87,7.47,4.96,634.54,3152.7,4.96,28195.25,10.62,10.64,10.66,49.92,246.65,245.1,247.27,1.0,7867.53,-5.8,2621.5,2608.97,2637.07,-1.87,-0.93,-3.0,2621.7,2609.57,2637.13,1: Mpp,3201.96,3491.95
2017-01-25 14:30,220.1,6096.93,299.96,5.64,644.02,3632.93,5.64,3.76,629.78,2369.9,3.76,28196.72,8.04,8.06,8.06,49.9,244.24,242.53,245.06,1.0,5894.03,-6.69,1964.31,1953.48,1976.24,-2.07,-1.03,-3.59,1964.24,1953.41,1975.97,1: Mpp,3202.21,3492.2
2017-01-25 14:45,210.2,6097.18,299.05,5.49,631.02,3466.17,5.49,3.62,633.38,2293.97,3.62,28198.13,7.74,7.75,7.76,49.89,243.79,241.47,244.37,1.0,5652.03,-7.27,1886.4,1870.57,1895.07,-2.27,-1.33,-3.67,1886.6,1870.97,1895.33,1: Mpp,3202.46,3492.45
2017-01-25 15:00,161.57,6097.43,298.48,4.17,639.11,2666.66,4.18,2.78,627.58,1740.69,2.77,28199.2,5.93,5.94,5.94,49.93,243.66,242.32,244.84,1.0,4334.28,-8.41,1443.52,1437.14,1453.62,-2.48,-1.93,-4.0,1443.52,1437.14,1453.62,1: Mpp,3202.71,3492.7
2017-01-25 15:15,144.41,6097.68,297.69,3.81,628.69,2391.69,3.81,2.51,625.91,1571.14,2.51,28200.16,5.24,5.25,5.25,49.98,245.84,244.57,247.23,1.0,3866.86,-11.38,1288.41,1282.1,1296.34,-3.86,-2.55,-4.97,1288.41,1282.1,1296.34,1: Mpp,3202.95,3492.94
2017-01-25 15:30,121.73,6097.93,297.37,3.2,630.62,2016.81,3.2,2.11,623.03,1316.1,2.11,28201.02,4.48,4.48,4.48,49.94,245.25,244.19,246.75,1.0,3295.32,-14.32,1097.16,1093.58,1104.58,-4.39,-4.0,-5.94,1097.1,1093.52,1104.52,1: Mpp,3203.21,3493.2
2017-01-25 15:45,116.07,6098.17,297.1,3.1,629.6,1949.24,3.1,2.05,620.84,1271.24,2.05,28201.8,4.34,4.34,4.34,49.94,244.73,243.87,246.27,1.0,3186.17,-14.83,1061.45,1056.86,1067.86,-4.76,-3.86,-6.21,1061.45,1056.93,1067.86,1: Mpp,3203.46,3493.45
2017-01-25 16:00,99.6,6098.42,296.69,2.67,625.75,1668.87,2.67,1.76,616.13,1086.73,1.76,28202.49,3.74,3.74,3.74,49.89,243.84,242.8,245.22,1.0,2735.1,-17.93,912.03,907.43,915.63,-6.13,-5.13,-6.67,911.97,907.37,915.63,1: Mpp,3203.71,3493.7
2017-01-25 16:15,98.4,6098.67,296.34,2.65,622.56,1645.43,2.65,1.74,613.47,1068.8,1.74,28203.17,3.69,3.69,3.68,49.99,243.9,242.84,245.23,1.0,2696.07,-17.8,899.2,894.67,902.2,-5.93,-5.0,-6.87,899.27,894.53,902.2,1: Mpp,3203.96,3493.95
2017-01-25 16:30,75.55,6098.92,295.93,2.04,617.24,1257.83,2.04,1.31,600.64,787.86,1.31,28203.68,2.82,2.81,2.8,49.94,242.48,241.38,243.88,1.0,2040.76,-25.24,682.28,677.31,681.17,-8.97,-7.45,-8.83,682.41,677.52,681.31,1: Mpp,3204.21,3494.2
2017-01-25 16:45,66.23,6099.16,295.68,1.78,610.84,1090.6,1.78,1.15,603.38,693.7,1.15,28204.13,2.45,2.45,2.43,50.0,243.18,242.03,244.37,1.0,1780.83,-29.33,595.97,591.47,593.4,-10.67,-9.0,-9.67,595.87,591.27,593.27,1: Mpp,3204.46,3494.45
